experiment_id,task_id,seed,condition,success,final_reward,db_reward,communicate_reward,nl_assertion_reward,result_path
exp5_4_tool_completion_targeted,16,501,generic_policy_card_v2,0,0.0000,1.0000,,0.0000,third_party/tau2-bench/data/simulations/exp5_4_tool_completion_targeted/task_16/condition_generic_policy_card_v2/seed_501/results.json
exp5_4_tool_completion_targeted,16,502,generic_policy_card_v2,0,0.0000,1.0000,,0.0000,third_party/tau2-bench/data/simulations/exp5_4_tool_completion_targeted/task_16/condition_generic_policy_card_v2/seed_502/results.json
exp5_4_tool_completion_targeted,16,503,generic_policy_card_v2,0,0.0000,1.0000,,0.0000,third_party/tau2-bench/data/simulations/exp5_4_tool_completion_targeted/task_16/condition_generic_policy_card_v2/seed_503/results.json
exp5_4_tool_completion_targeted,16,504,generic_policy_card_v2,1,1.0000,1.0000,,1.0000,third_party/tau2-bench/data/simulations/exp5_4_tool_completion_targeted/task_16/condition_generic_policy_card_v2/seed_504/results.json
exp5_4_tool_completion_targeted,16,505,generic_policy_card_v2,0,0.0000,1.0000,,0.0000,third_party/tau2-bench/data/simulations/exp5_4_tool_completion_targeted/task_16/condition_generic_policy_card_v2/seed_505/results.json
exp5_4_tool_completion_targeted,16,501,hard_mismatched_card_v2,0,0.0000,1.0000,,0.0000,third_party/tau2-bench/data/simulations/exp5_4_tool_completion_targeted/task_16/condition_hard_mismatched_card_v2/seed_501/results.json
exp5_4_tool_completion_targeted,16,502,hard_mismatched_card_v2,0,0.0000,1.0000,,0.0000,third_party/tau2-bench/data/simulations/exp5_4_tool_completion_targeted/task_16/condition_hard_mismatched_card_v2/seed_502/results.json
exp5_4_tool_completion_targeted,16,503,hard_mismatched_card_v2,0,0.0000,1.0000,,0.0000,third_party/tau2-bench/data/simulations/exp5_4_tool_completion_targeted/task_16/condition_hard_mismatched_card_v2/seed_503/results.json
exp5_4_tool_completion_targeted,16,504,hard_mismatched_card_v2,0,0.0000,1.0000,,0.0000,third_party/tau2-bench/data/simulations/exp5_4_tool_completion_targeted/task_16/condition_hard_mismatched_card_v2/seed_504/results.json
exp5_4_tool_completion_targeted,16,505,hard_mismatched_card_v2,0,0.0000,1.0000,,0.0000,third_party/tau2-bench/data/simulations/exp5_4_tool_completion_targeted/task_16/condition_hard_mismatched_card_v2/seed_505/results.json
exp5_4_tool_completion_targeted,16,501,no_memory,0,0.0000,1.0000,,0.0000,third_party/tau2-bench/data/simulations/exp5_4_tool_completion_targeted/task_16/condition_no_memory/seed_501/results.json
exp5_4_tool_completion_targeted,16,502,no_memory,0,0.0000,1.0000,,0.0000,third_party/tau2-bench/data/simulations/exp5_4_tool_completion_targeted/task_16/condition_no_memory/seed_502/results.json
exp5_4_tool_completion_targeted,16,503,no_memory,0,0.0000,1.0000,,0.0000,third_party/tau2-bench/data/simulations/exp5_4_tool_completion_targeted/task_16/condition_no_memory/seed_503/results.json
exp5_4_tool_completion_targeted,16,504,no_memory,0,0.0000,1.0000,,0.0000,third_party/tau2-bench/data/simulations/exp5_4_tool_completion_targeted/task_16/condition_no_memory/seed_504/results.json
exp5_4_tool_completion_targeted,16,505,no_memory,1,1.0000,1.0000,,1.0000,third_party/tau2-bench/data/simulations/exp5_4_tool_completion_targeted/task_16/condition_no_memory/seed_505/results.json
exp5_4_tool_completion_targeted,16,501,oracle_single_missing_check_card_v1,0,0.0000,0.0000,,0.0000,third_party/tau2-bench/data/simulations/exp5_4_tool_completion_targeted/task_16/condition_oracle_single_missing_check_card_v1/seed_501/results.json
exp5_4_tool_completion_targeted,16,502,oracle_single_missing_check_card_v1,1,1.0000,1.0000,,1.0000,third_party/tau2-bench/data/simulations/exp5_4_tool_completion_targeted/task_16/condition_oracle_single_missing_check_card_v1/seed_502/results.json
exp5_4_tool_completion_targeted,16,503,oracle_single_missing_check_card_v1,1,1.0000,1.0000,,1.0000,third_party/tau2-bench/data/simulations/exp5_4_tool_completion_targeted/task_16/condition_oracle_single_missing_check_card_v1/seed_503/results.json
exp5_4_tool_completion_targeted,16,504,oracle_single_missing_check_card_v1,0,0.0000,0.0000,,0.0000,third_party/tau2-bench/data/simulations/exp5_4_tool_completion_targeted/task_16/condition_oracle_single_missing_check_card_v1/seed_504/results.json
exp5_4_tool_completion_targeted,16,505,oracle_single_missing_check_card_v1,1,1.0000,1.0000,,1.0000,third_party/tau2-bench/data/simulations/exp5_4_tool_completion_targeted/task_16/condition_oracle_single_missing_check_card_v1/seed_505/results.json
